sample-id	host_species	host_subsection	latitude	longitude	BIOCLIM_1	BIOCLIM_12	aridity_index_UNEP	GTOPO30_ELEVATION	ISRICSOILGRIDS_new_average_phx10percent_reduced	ISRICSOILGRIDS_new_average_sandpercent_reduced	ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced
A41-2	Heuchera_americana_hirsuticaulis	Heuchera	36.966255	-90.234138	137	1204	0.991716623	114	56	15	23
A42-3	Heuchera_richardsonii	Heuchera	38.454585	-90.623699	127	989	0.819987893	137	63	20	20
A43-3	Heuchera_richardsonii	Heuchera	38.630682	-90.265731	131	964	0.860184848	154	65	18	22
A44-5	Heuchera_richardsonii	Heuchera	38.83037	-92.283973	125	976	0.905960739	213	62	29	20
A45-1	Heuchera_americana_hirsuticaulis	Heuchera	36.065466	-94.13855	140	1139	0.971657932	441	55	43	23
A46-6	Heuchera_americana_hirsuticaulis	Heuchera	35.994786	-94.132507	138	1164	0.992566049	419	55	28	25
A47-3	Heuchera_americana_hirsuticaulis	Heuchera	35.996722	-94.129067	138	1164	0.992566049	419	55	28	25
A49-8	Heuchera_americana_hirsuticaulis	Heuchera	35.074282	-92.538006	161	1257	0.940908551	112	58	31	27
A5-1	Heuchera_villosa_villosa	Villosae	34.6772222	-84	113	1807	1.600701332	996	50	43	52
A5-3	Heuchera_villosa_villosa	Villosae	34.6772222	-84	113	1807	1.600701332	996	50	43	52
A6-1	Heuchera_americana_americana	Heuchera	34.6194444	-83.792222	139	1630	1.261129379	477	53	42	34
A7-1	Heuchera_americana_americana	Heuchera	34.0972222	-82.351389	162	1189	0.876671314	137	50	42	21
A8	Heuchera_americana_americana	Heuchera	33.2555556	-83.6825	172	1220	0.889571011	175	50	45	24
A9-1	Heuchera_americana_hirsuticaulis	Heuchera	40.3380556	-87.316389	103	974	0.930891812	187	62	28	35
FL-1	Heuchera_longiflora_longiflora	Heuchera	36.5326389	-83.479353	128	1267	1.036483884	419	56	32	27
FL-10	Heuchera_longiflora_aceroides	Heuchera	36.2907472	-83.003425	132	1137	0.923674405	381	56	36	26
FL-11	Heuchera_longiflora_aceroides	Heuchera	36.3596917	-82.867069	124	1161	0.970964134	522	52	33	27
FL-12	Heuchera_longiflora_aceroides	Heuchera	36.3505444	-82.927314	132	1132	0.922102749	434	54	37	26
FL-13	Heuchera_longiflora_aceroides	Heuchera	36.389285	-82.733798	127	1139	0.950166762	520	50	34	37
FL-14	Heuchera_longiflora_longiflora	Heuchera	36.4632556	-82.766714	129	1136	0.938935935	465	53	28	27
FL-15	Heuchera_longiflora_longiflora	Heuchera	36.5187889	-83.496497	128	1262	1.030238509	370	56	32	28
FL-16	Heuchera_longiflora_longiflora	Heuchera	36.2998861	-82.996839	130	1147	0.931712747	406	55	29	28
FL-17	Heuchera_longiflora_longiflora	Heuchera	36.5892917	-83.384286	126	1264	1.047763944	471	56	39	32
FL-18	Heuchera_longiflora_aceroides	Heuchera	35.9701667	-82.961383	115	1215	1.052096725	779	53	39	33
FL-19	Heuchera_longiflora_aceroides	Heuchera	35.942689	-82.895113	135	1102	0.890219688	423	51	30	27
