	A1-2	A1-3	A10-1	A10-2	A12-1	A13-6	A14	A15-1	A15-8	A17-8	A2-2	A21-9	A30-10	A34-4	A36	A37-7	A4-5	A40-2	A43-3	A44-5	A46-6	A6-1	A7-1	A8	A9-1	FL-1	FL-10	FL-12	FL-13	FL-14	FL-15	FL-17	FL-18	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-27	FL-3	FL-5	FL-6	FL-7	FL-8	FL-9	H115-2	H124-2	H134-2	H146-2	H164-2	H174-4	H176-4	H183-4	H184-4	H194-2	H200-4	H218-2	H220-4	H224-4	H225-4	H226-4	H227-4	H45-1	H49	H50-1	L12-3	L15-1	L23-2	L23-3
A2-2	0.856461617	0.641174004	0.968195696	0.910253718	0.916447014	0.830495093	0.931293845	0.532115202	0.912768607	0.601886677	0	0.628405409	0.842824728	0.398105793	0.882311175	0.953492697	0.816085048	0.566865539	0.398105793	0.714426428	0.741090998	0.943341315	0.958008182	0.911108617	0.740195057	0.764043925	0.910865603	0.901546134	0.710152487	0.566498964	0.656913147	0.764792831	0.808588793	0.890578075	0.948390926	0.868648418	0.870178207	0.972740615	0.944728846	0.506135807	0.958755504	0.839389139	0.894003041	0.901609539	0.930999275	0.928533395	0.9173631	0.463439392	0.907839945	0.908198342	0.942307417	0.847678934	0.919656057	0.910688424	0.932400505	0.94203944	0.723224019	0.398105793	0.650555931	0.56406898	0.498217951	0.566392174	0.694853203	0.915617885	0.910510867	0.970109809	0.82302824	0.947119878	0.917030713	0.932514694
A21-9	0.798402754	0.229154968	0.963536604	0.859649138	0.874228567	0.936972523	0.90509826	0.916065452	0.865704046	0.904855877	0.628405409	0	0.954172807	0.926708921	0.824068815	0.942806412	0.723757549	0.896715882	0.926708921	0.948126919	0.967674669	0.926643315	0.949486381	0.910632526	0.900175939	0.835847605	0.861139875	0.886974608	0.930250677	0.896630869	0.937925925	0.929211375	0.74456449	0.875327714	0.934891237	0.96209377	0.97616264	0.969388152	0.937101122	0.750669486	0.950563911	0.811281005	0.859605074	0.863957498	0.904535329	0.899749647	0.919314681	0.929390204	0.85365495	0.854556612	0.918697823	0.943707589	0.881361499	0.860709388	0.907196777	0.930748731	0.94969446	0.926708921	0.916228402	0.921627253	0.910191755	0.922032568	0.926640778	0.872340378	0.860277024	0.966030612	0.903835766	0.937879536	0.875546515	0.907411852
A30-10	0.972647519	0.954855726	0.91797758	0.830414735	0.756306716	0.685257596	0.627219483	0.722570545	0.833232069	0.86452886	0.842824728	0.954172807	0	0.837449866	0.955872039	0.8902216	0.830391908	0.85829897	0.837449866	0.844238724	0.89502171	0.685234771	0.845115383	0.811359026	0.839423848	0.745980583	0.831094172	0.861875205	0.852313384	0.858236301	0.63940075	0.63544404	0.875826289	0.840379424	0.866943149	0.795246051	0.910268469	0.905734641	0.88038373	0.855226596	0.7051234	0.945700608	0.788289498	0.780796173	0.651405587	0.705235238	0.95574149	0.840077828	0.90030793	0.900519076	0.966649087	0.740491165	0.894850009	0.803950136	0.916751641	0.858615363	0.754171971	0.837449866	0.780328063	0.787485679	0.757479452	0.788097086	0.83783474	0.778350562	0.901899737	0.939491734	0.783380676	0.880868216	0.746476118	0.657283376
A34-4	0.972697718	0.929373367	0.977473736	0.921495598	0.928704119	0.847038639	0.944625897	0.411496125	0.924465967	0.583152023	0.398105793	0.926708921	0.837449866	0	0.933130462	0.9653886	0.964795736	0.537922259	0	0.683626015	0.687591705	0.956303026	0.969228585	0.943833831	0.74975945	0.870059867	0.922223869	0.978804945	0.712952706	0.537439796	0.605057085	0.737589886	0.957594809	0.971622422	0.960903466	0.867361598	0.869469943	0.980976753	0.979303986	0.671914504	0.969852774	0.9145145	0.979955955	0.946427236	0.944327199	0.941800693	0.884234049	0.144739045	0.9185871	0.919022585	0.939837202	0.864176511	0.932301986	0.92201336	0.945742216	0.970976933	0.695126278	0	0.64329536	0.464393082	0.352567853	0.468143512	0.695470066	0.927759626	0.921802098	0.978961714	0.806480059	0.973785604	0.929365323	0.945856878
A36	0.804805744	0.830943007	0.964620589	0.874454888	0.886249817	0.736856237	0.91210706	0.921595124	0.87932185	0.755101236	0.882311175	0.824068815	0.955872039	0.933130462	0	0.945428969	0.91877911	0.732283117	0.933130462	0.95029348	0.96898817	0.930902417	0.951543121	0.771102387	0.712483492	0.947698307	0.875649034	0.95178954	0.933000046	0.732043116	0.941003119	0.933185571	0.728492397	0.957491719	0.938268477	0.963263861	0.976630718	0.970155805	0.952948289	0.925307376	0.952535553	0.869517355	0.88434335	0.580138694	0.911624419	0.907538316	0.927029113	0.935369654	0.869680172	0.870395659	0.92510788	0.859769673	0.892116179	0.87530392	0.913910003	0.773000431	0.951734633	0.933130462	0.786453319	0.926469512	0.916493381	0.926826404	0.814632795	0.884707538	0.874957526	0.966973301	0.911025221	0.844500372	0.887328947	0.914095118
A37-7	0.956701196	0.94386619	0.658971097	0.736561689	0.7920157	0.921049635	0.935471048	0.81760025	0.732373336	0.96034553	0.953492697	0.942806412	0.8902216	0.9653886	0.945428969	0	0.951531982	0.958393628	0.9653886	0.529002934	0.725938079	0.812646426	0.694233355	0.950104471	0.959207125	0.964485022	0.737976074	0.78192791	0.94432557	0.958373931	0.909116492	0.945279972	0.832200282	0.892256603	0.854083957	0.871663399	0.967274412	0.909554188	0.902914733	0.964897221	0.879753767	0.950768265	0.792888342	0.936702024	0.789626088	0.766559574	0.963822929	0.965998342	0.920824849	0.921029837	0.959268345	0.934763306	0.867974954	0.92246896	0.936229893	0.581737399	0.866799039	0.9653886	0.858591172	0.894820103	0.872490249	0.895146662	0.921221506	0.790426106	0.922365473	0.711741679	0.777971795	0.735202876	0.926256233	0.790819072
A4-5	0.830226496	0.669368618	0.964695876	0.920726747	0.924550009	0.820341612	0.789365217	0.93872927	0.922258932	0.94165161	0.816085048	0.723757549	0.830391908	0.964795736	0.91877911	0.951531982	0	0.938688273	0.964795736	0.954586936	0.978116685	0.758857464	0.816969192	0.765213056	0.939924381	0.697787558	0.921097029	0.795009402	0.941980617	0.938658325	0.78614768	0.764846903	0.841392846	0.793491207	0.839139647	0.963659371	0.97344442	0.967543198	0.94278037	0.812946336	0.820005322	0.904477606	0.743352334	0.686149553	0.71203685	0.773175792	0.963174712	0.965426355	0.919281503	0.91949455	0.62306513	0.873147185	0.926598937	0.73881171	0.935232478	0.942267356	0.95552591	0.964795736	0.934397215	0.941091099	0.936378465	0.94126871	0.939939589	0.924028303	0.920882168	0.96482463	0.93398627	0.946516528	0.661194222	0.717687473
A40-2	0.823293765	0.899123942	0.97056665	0.926875479	0.93104035	0.754223079	0.941477747	0.616355729	0.928553788	0.368188804	0.566865539	0.896715882	0.85829897	0.537922259	0.732283117	0.958393628	0.938688273	0	0.537922259	0.74817602	0.770908985	0.950451695	0.962044934	0.747822542	0.643758935	0.865876026	0.927282215	0.959580244	0.742592642	0.30966143	0.704493205	0.797831086	0.688322575	0.955134515	0.954357112	0.879633263	0.877633481	0.97450111	0.960397925	0.714937343	0.962656525	0.892915063	0.867504106	0.78986751	0.941264166	0.939486835	0.932126131	0.581864907	0.925280953	0.925516709	0.951234998	0.695487351	0.93324107	0.927164333	0.942282575	0.873654613	0.755042054	0.537922259	0.448029999	0.638106516	0.593859186	0.639709041	0.492630389	0.930476535	0.927046287	0.972213402	0.851703732	0.829802149	0.931438443	0.942365839
A43-3	0.972697718	0.929373367	0.977473736	0.921495598	0.928704119	0.847038639	0.944625897	0.411496125	0.924465967	0.583152023	0.398105793	0.926708921	0.837449866	0	0.933130462	0.9653886	0.964795736	0.537922259	0	0.683626015	0.687591705	0.956303026	0.969228585	0.943833831	0.74975945	0.870059867	0.922223869	0.978804945	0.712952706	0.537439796	0.605057085	0.737589886	0.957594809	0.971622422	0.960903466	0.867361598	0.869469943	0.980976753	0.979303986	0.671914504	0.969852774	0.9145145	0.979955955	0.946427236	0.944327199	0.941800693	0.884234049	0.144739045	0.9185871	0.919022585	0.939837202	0.864176511	0.932301986	0.92201336	0.945742216	0.970976933	0.695126278	0	0.64329536	0.464393082	0.352567853	0.468143512	0.695470066	0.927759626	0.921802098	0.978961714	0.806480059	0.973785604	0.929365323	0.945856878
A44-5	0.959009611	0.949000199	0.781963101	0.929795098	0.932810313	0.875878254	0.905787242	0.697342509	0.930999452	0.761350097	0.714426428	0.948126919	0.844238724	0.683626015	0.95029348	0.529002934	0.954586936	0.74817602	0.683626015	0	0.48426422	0.936712964	0.715985523	0.941060558	0.845938747	0.849001888	0.930085665	0.748393966	0.71012865	0.748042319	0.752572238	0.827005403	0.949047281	0.874439566	0.864720201	0.826055368	0.839931473	0.961647989	0.920629068	0.79149857	0.860088539	0.939361285	0.779691369	0.941813871	0.940606165	0.939208826	0.949878533	0.709139775	0.84991972	0.850295577	0.962683458	0.844017874	0.934440009	0.930001367	0.878344659	0.745014553	0.770005798	0.683626015	0.766462161	0.710370239	0.684253429	0.711345008	0.787565117	0.9323969	0.852746104	0.77153898	0.871803857	0.720720072	0.933103214	0.94148157
