	A1-2	A1-3	A10-1	A10-2	A12-1	A13-6	A14	A15-1	A15-8	A17-8	A2-2	A21-9	A30-10	A34-4	A36	A37-7	A4-5	A40-2	A43-3	A44-5	A46-6	A6-1	A7-1	A8	A9-1	FL-1	FL-10	FL-12	FL-13	FL-14	FL-15	FL-17	FL-18	FL-20	FL-21	FL-22	FL-23	FL-24	FL-25	FL-27	FL-3	FL-5	FL-6	FL-7	FL-8	FL-9	H115-2	H124-2	H128	H130-2	H134-2	H146-2	H164-2	H174-4	H176-4	H183-4	H184-4	H194-2	H200-4	H218-2	H220-4	H224-4	H225-4	H226-4	H227-4	H45-1	H49	H50-1	L12-3	L15-1	L23-2	L23-3
A8	0.8897886177984438	0.8444281313246307	0.9143680529607463	0.7873268231759116	0.7983333372900376	0.8177441893560944	0.6597845193527601	0.7977062137007928	0.7916987446270335	0.9207605796561757	0.8854739259340376	0.8485493394122026	0.7420988345081599	0.8531610680240252	0.8991415098679195	0.8731566487708985	0.6804000375916464	0.9066126198167418	0.8896268352172002	0.8827691773212352	0.9384174323123753	0.7236652502847062	0.7706582569420029	0.0	0.8236128255019045	0.7152176489821546	0.8029476189164922	0.8275161416115218	0.8683159673435555	0.8543926214312267	0.7419084137330318	0.7235909956428895	0.8559071995393276	0.9256352650695259	0.7184439356438365	0.9195792295559676	0.8749563951842688	0.933383798452767	0.9256417592272457	0.8853245259049065	0.7336470881020312	0.8333484711952305	0.7902559922835877	0.5307562716303422	0.840762698089519	0.6504370118310511	0.8164109306122613	0.8907282811814641	0.8271309974744984	0.8352658995963785	0.7655020804139326	0.7655020804139326	0.7964350325056814	0.8131684164445272	0.8016267490400559	0.5964429675218226	0.8190738098579051	0.8604376820426322	0.8882857051119879	0.8896268352172002	0.8884219208393432	0.857513464105239	0.8533052845960947	0.8576176593720234	0.8712523723967304	0.7963250567859845	0.8380577338976639	0.9294912210878954	0.8304005596866456	0.8882577519937913	0.5307562716303422	0.6250976223240784
A9-1	0.7579789835206519	0.8765785756083495	0.9233737978058386	0.8353782639290299	0.8420510453404065	0.5796377445458044	0.7951665929562508	0.8416666078311339	0.8380100047377155	0.7133775820513171	0.7203062252461346	0.879186695907474	0.8459552877527283	0.6873897643458656	0.7234959467772438	0.8919645564769656	0.6310907425757583	0.6599807030978118	0.6959079684510249	0.76011544126803	0.8285229654714549	0.8254410199664343	0.8598835076577522	0.8236128255019045	0.0	0.8334023817949319	0.8408524849000366	0.8895981924527983	0.6484853610166692	0.6322627990266968	0.667661406037123	0.45236534499718056	0.8159015737227774	0.7337155060056636	0.8228551731678715	0.7830723231394789	0.9187143802643203	0.855777788683377	0.8390639719876197	0.752184656220957	0.8419519881591222	0.8633268352661185	0.8698153286114595	0.7594838179441057	0.7002318720547646	0.7909731393777636	0.8521394165551627	0.6988708653066857	0.8659364808571748	0.6812952532836434	0.8172887237079447	0.8172887237079447	0.8408889388712774	0.5833807847794096	0.8426976101133893	0.7678267995098872	0.8515395695654215	0.7278375630777087	0.7556387403824018	0.6959079684510249	0.7158161123894305	0.6964711349188453	0.68075740571697	0.6966886761078935	0.6771778545907352	0.8408217588337014	0.6705249150695972	0.9350283014227406	0.7938335784612094	0.8571804244267004	0.7594838179441057	0.7948471952470504
FL-1	0.681729218599254	0.5484952325625632	0.9176797907700174	0.8066456329327936	0.8157863197555104	0.8008152019139502	0.6881490567866388	0.8152631871270475	0.8102661168726994	0.9249229806161592	0.7587817056337065	0.6414596834911914	0.7576774194026623	0.6892774793555979	0.907212451203435	0.8802902820107943	0.7039832920290718	0.9123403620550434	0.8975393782179941	0.8881921172835993	0.9409612756323408	0.7426756381859422	0.7830605630816247	0.7152176489821546	0.8334023817949319	0.0	0.8178017245885298	0.7715817094105725	0.8738500716747274	0.8330196749900519	0.5312803167102067	0.7414085140327389	0.7677785755139735	0.8350573015818021	0.6824448796142902	0.900789731089654	0.8007536369296373	0.8741729485662678	0.8383195662079324	0.7787805234971138	0.7013954668326733	0.7484404048527152	0.8006774127848959	0.5798963347280905	0.8506051010044148	0.6803131706768654	0.7694497528541835	0.8984892412532497	0.7931215535012076	0.8470992262624916	0.786240905793313	0.786240905793313	0.8142036590252089	0.822056477916684	0.49651310562612866	0.635742549898695	0.7466601478676491	0.8690252356583207	0.8938564835015299	0.8975393782179941	0.8933454750773122	0.652438333488445	0.8627632670000542	0.654939127772839	0.7450261628038478	0.8141120486701021	0.8482266857334193	0.7991998518851612	0.8429166378005035	0.8931954847135768	0.5798963347280905	0.6571393967239816
FL-10	0.8699457977920821	0.8017260201491998	0.8327308102689296	0.43219300288108614	0.5870412052977364	0.8617164664807357	0.5075568893136454	0.47561947560706297	0.4507980687342115	0.9085088947415154	0.8638949301173311	0.808371822135883	0.5957550900377517	0.8252358830200902	0.8723157624852542	0.7286034601452761	0.7842289719115482	0.8891122407883331	0.8643187715985341	0.8545453794437139	0.9312639405931487	0.6303674647029427	0.8550178080990465	0.8029476189164922	0.8408524849000366	0.8178017245885298	0.0	0.8822480134749401	0.884708445418725	0.8713303575167912	0.835829924052139	0.8234799463103124	0.6928293416447819	0.8891236765617184	0.8017713246027023	0.8460135427632419	0.8917906697483374	0.8935538087067788	0.9123967437147954	0.7610805255494015	0.6175976992497957	0.7964318747468477	0.7140596307712598	0.6872537451419596	0.6409327858188926	0.5363555478319108	0.7705770993261185	0.8659794407517392	0.7727456536220869	0.613659110017066	0.6595405389180954	0.6595405389180954	0.7203343620012752	0.8601871648307885	0.7470159026098246	0.704406923884201	0.7562648910667294	0.6923350091272986	0.8096517670198639	0.8643187715985341	0.784173767201761	0.8313665722279305	0.7598338290491456	0.8315124971252729	0.8541163007188484	0.5810412067792289	0.7872759201634714	0.9241465755817465	0.5972792330304537	0.7980830111350242	0.6872537451419596	0.5511695828861043
FL-12	0.8792389700948218	0.8515639832091189	0.6078617589620804	0.8945208069428404	0.8973007570769514	0.85359579447062	0.8119782289462275	0.8971383678794171	0.8956074924451589	0.9493326753547154	0.8762579548378022	0.853779479654575	0.83494852205749	0.9122241425566167	0.9464865605698334	0.7175684460306484	0.8234581126761222	0.9438980409170553	0.9381829922785743	0.6994637255303084	0.6099715968055757	0.6828623814154189	0.36097136218949794	0.8275161416115218	0.8895981924527983	0.7715817094105725	0.8822480134749401	0.0	0.90894531587713	0.9024985725721419	0.8439952238832388	0.8374854115048115	0.8328313978656388	0.8787298283521037	0.8098894031313901	0.8897142377859033	0.8984689134408556	0.7707931486081196	0.924647430482111	0.7593392073862998	0.8028059934018739	0.883850112895166	0.3953898861158528	0.7857091707298752	0.8605854953613674	0.8207879351123731	0.9002933237661139	0.9385300190530356	0.8889072480677609	0.9078245942342659	0.8114715353816389	0.8114715353816389	0.8968107181017732	0.8306034276724368	0.8960874160425206	0.8075898567589288	0.6909926740329313	0.9162742036151761	0.9271662483313464	0.9381829922785743	0.8828410472155074	0.9137981437737243	0.9137586849126158	0.9138362906551735	0.9103590006863331	0.8967824664245327	0.8591198190490631	0.7876480548634134	0.9063208876945388	0.5290198262779718	0.7857091707298752	0.8077968234194716
FL-13	0.9288715897934547	0.9123844893150507	0.9107648750827789	0.8862165294635245	0.8894447378387962	0.7850893624581271	0.8530838756757152	0.8892565315970273	0.8874800331588542	0.7390126747681507	0.6854136366430392	0.9137069390508388	0.8811816776422855	0.6590355666831729	0.9425838998478665	0.9164599910342122	0.8651534088851619	0.702632225448047	0.6620250541304249	0.7263996439928978	0.7880803294214026	0.8693376050714455	0.8896430836736602	0.8683159673435555	0.6484853610166692	0.8738500716747274	0.884708445418725	0.90894531587713	0.0	0.6436044113529492	0.6450289568801725	0.6608974188570661	0.9093097557615328	0.8308939431476773	0.8678941449106689	0.6956008783679367	0.9074846528448784	0.8595479406560003	0.8392495902698476	0.7200396378105745	0.8788140247213836	0.899188263174752	0.8958982295996036	0.8355888645359185	0.7805475627496457	0.8509389983842469	0.8932294931023175	0.6851684404420313	0.9071523683184836	0.901545353201601	0.8728269235387641	0.8728269235387641	0.8888766525735703	0.6624723330915814	0.8883920741894736	0.8395306077718073	0.8904227897620928	0.9111255699352965	0.6753400130573907	0.6620250541304249	0.7374079393215899	0.6669563196538262	0.6528940095361663	0.6671472233087742	0.6798780844392671	0.8888438887311211	0.6453825499160497	0.9290289795953448	0.8523064535433293	0.9203062540752764	0.8355888645359185	0.8529196361402561
FL-14	0.7536297853743418	0.9016153571870562	0.9321593505981491	0.871210210748246	0.8753306552995435	0.7291863562412598	0.8355385836469988	0.8750912747081272	0.872826598183534	0.499708676159342	0.6458985705640082	0.9032797921785185	0.869961987834821	0.5727981990996108	0.8761683880235281	0.9086447655761254	0.7932265341211183	0.5700650225935984	0.6131338010871935	0.7001698009143881	0.769842084296976	0.8556406983344013	0.8800291191284408	0.8543926214312267	0.6322627990266968	0.8330196749900519	0.8713303575167912	0.9024985725721419	0.6436044113529492	0.0	0.5635363675689895	0.7115579905611238	0.7982066120424706	0.7396267738774398	0.8538767074224085	0.8521638509153282	0.9104686289601998	0.875069580488351	0.845607416068098	0.7061083942647446	0.8671207355524814	0.858142661974411	0.8873852730763815	0.8132991424623501	0.7558685451468395	0.8328461225656884	0.8485060072001382	0.6408110474368518	0.8949692109472831	0.8332932839194263	0.8563523509626086	0.8563523509626086	0.8746077872430832	0.6759723765448498	0.8405639280402654	0.8183656556553072	0.8784070937034406	0.8030530342300386	0.6916461112312573	0.6131338010871935	0.5263164895278812	0.5842825380492191	0.607395436845662	0.5845582703940216	0.5198980985537137	0.8745660674858008	0.6000312393481345	0.9270648572889635	0.8346077772968343	0.7837337536309399	0.8132991424623501	0.8353327459952345
FL-15	0.9045946204089081	0.872384090471148	0.9220703169453734	0.8292421662933036	0.8364108290996299	0.6885793923073112	0.7219228937758807	0.8359984096928077	0.8320720678077764	0.6377919238630715	0.5376777696413901	0.8751704962818156	0.7772764301516141	0.20813278727821505	0.9168998478150054	0.8893552719905393	0.7327152072925732	0.5637149566112876	0.47035007055398265	0.634950901160943	0.725877903322899	0.7661152745458825	0.7989028711879029	0.7419084137330318	0.667661406037123	0.5312803167102067	0.835829924052139	0.8439952238832388	0.6450289568801725	0.5635363675689895	0.0	0.539419353641664	0.8764542611683634	0.8211491746850507	0.7623857469514617	0.8320841918574136	0.8141900386439815	0.8610257114850558	0.746048426876744	0.643716232692925	0.7710011193215596	0.8103803838873688	0.8141309840530191	0.6355027445670621	0.6911406812020009	0.7157092803995587	0.7936156020900281	0.5129235887975118	0.8609729205787124	0.8615837420745902	0.8106376726829757	0.8106376726829757	0.8351639176114561	0.6807025375471611	0.5703764675928686	0.6809979147598316	0.8471781536550428	0.8797998066528934	0.6184424216776986	0.47035007055398265	0.6542878414942706	0.17304430498155984	0.4804929031068704	0.17389377174501167	0.4695342885688043	0.835091815054789	0.4748814043802561	0.8882525746723277	0.7870530357112078	0.8996549932064832	0.6355027445670621	0.695101244910391
FL-17	0.8989001486215552	0.8619858851376656	0.9190162977412615	0.813861001081988	0.8223471848608453	0.6136034203867944	0.6528257824413299	0.8218607011366933	0.817218663025716	0.7607189435602341	0.6905648253186856	0.8652390777841781	0.7637667380732377	0.6538659274594864	0.9102763344355814	0.8830958857966669	0.7130198271480903	0.7144332108594531	0.6572946499018152	0.7416710057474443	0.8168888903924172	0.6986564917909442	0.7879538715297675	0.7235909956428895	0.45236534499718056	0.7414085140327389	0.8234799463103124	0.8374854115048115	0.6608974188570661	0.7115579905611238	0.539419353641664	0.0	0.8685982874309379	0.75681379285547	0.7084858298976553	0.7713199972304993	0.9144121337362594	0.8495976238328076	0.8313299675677124	0.7333581506378022	0.7566949728686078	0.8494730361782985	0.8048158350683252	0.5978668385420067	0.6688784029554938	0.6245892328191961	0.8357891182326752	0.6610531212195562	0.848541426535199	0.8516467389158525	0.7940147314508578	0.7940147314508578	0.8208757013922211	0.5296726949149388	0.8240609110717334	0.5944960601891994	0.8365319059585937	0.8723763250084176	0.7352062582833774	0.6572946499018152	0.7548437212029174	0.6649649022154467	0.6449666345459429	0.6652299290229657	0.7467337905742552	0.8207905539573852	0.6347021032061461	0.9323085618015563	0.7703057916484437	0.8951721821221328	0.5978668385420067	0.6010866065182283
FL-18	0.6190930519891438	0.6940699663965593	0.8544362063432719	0.6012190829730819	0.6836031906291772	0.8276689883178561	0.8284635316019031	0.6238489706808257	0.6107973531501515	0.7983832266561574	0.7832278808617225	0.7033342732452572	0.8166542685988758	0.8581860114327927	0.7957784649958709	0.7776418001715122	0.7592296480305631	0.8141815074834376	0.8879174024927033	0.8972132961859075	0.9378888928794389	0.7510866867588954	0.8890069063727157	0.8559071995393276	0.8159015737227774	0.7677785755139735	0.6928293416447819	0.8328313978656388	0.9093097557615328	0.7982066120424706	0.8764542611683634	0.8685982874309379	0.0	0.7993245630717737	0.8061378056728299	0.8582088843613606	0.9208842193529078	0.8760529000081859	0.9346986129464165	0.830671757464946	0.8307261546251608	0.7974080672962174	0.8977233378749759	0.7920243177088184	0.7567654031395431	0.6859713454571957	0.8223782379827574	0.8890530549928911	0.7668768234569072	0.5848336109436929	0.7952942037292994	0.7952942037292994	0.7813535754874573	0.7522722603480237	0.8079372173385849	0.8007550605684189	0.7513216212663528	0.5190624902612485	0.8331266390771913	0.8879174024927033	0.7244044056187067	0.8624183848912522	0.7987512526393025	0.8625196850435096	0.8054979813023128	0.6800930143051127	0.8582482573857053	0.8981596421298538	0.6927245156835026	0.8025658388308832	0.7920243177088184	0.6936359376394289
